Time, N1, N2, EGT1, EGT2, Fuel Level, Fuel Flow
2024-12-27-19:32:58.598, 10200, 10200, 20, 20, 19997.4, 5.1
2024-12-27-19:32:58.603, 10250, 10250, 20, 20, 19997.4, 5.125
2024-12-27-19:32:58.608, 10300, 10300, 20, 20, 19997.3, 5.15
2024-12-27-19:32:58.613, 10350, 10350, 20, 20, 19997.3, 5.175
2024-12-27-19:32:58.618, 10400, 10400, 20, 20, 19997.3, 5.2
2024-12-27-19:32:58.623, 10450, 10450, 20, 20, 19997.3, 5.225
2024-12-27-19:32:58.628, 10500, 10500, 20, 20, 19997.2, 5.25
2024-12-27-19:32:58.633, 10550, 10550, 20, 20, 19997.2, 5.275
2024-12-27-19:32:58.638, 10600, 10600, 20, 20, 19997.2, 5.3
2024-12-27-19:32:58.643, 10650, 10650, 20, 20, 19997.2, 5.325
2024-12-27-19:32:58.648, 10700, 10700, 20, 20, 19997.1, 5.35
2024-12-27-19:32:58.653, 10750, 10750, 20, 20, 19997.1, 5.375
2024-12-27-19:32:58.658, 10800, 10800, 20, 20, 19997.1, 5.4
2024-12-27-19:32:58.663, 10850, 10850, 20, 20, 19997, 5.425
2024-12-27-19:32:58.668, 10900, 10900, 20, 20, 19997, 5.45
2024-12-27-19:32:58.673, 10950, 10950, 20, 20, 19997, 5.475
2024-12-27-19:32:58.678, 11000, 11000, 20, 20, 19997, 5.5
2024-12-27-19:32:58.683, 11050, 11050, 20, 20, 19996.9, 5.525
2024-12-27-19:32:58.688, 11100, 11100, 20, 20, 19996.9, 5.55
2024-12-27-19:32:58.693, 11150, 11150, 20, 20, 19996.9, 5.575
2024-12-27-19:32:58.698, 11200, 11200, 20, 20, 19996.9, 5.6
2024-12-27-19:32:58.703, 11250, 11250, 20, 20, 19996.8, 5.625
2024-12-27-19:32:58.708, 11300, 11300, 20, 20, 19996.8, 5.65
2024-12-27-19:32:58.713, 11350, 11350, 20, 20, 19996.8, 5.675
2024-12-27-19:32:58.718, 11400, 11400, 20, 20, 19996.7, 5.7
2024-12-27-19:32:58.723, 11450, 11450, 20, 20, 19996.7, 5.725
2024-12-27-19:32:58.728, 11500, 11500, 20, 20, 19996.7, 5.75
2024-12-27-19:32:58.733, 11550, 11550, 20, 20, 19996.7, 5.775
2024-12-27-19:32:58.738, 11600, 11600, 20, 20, 19996.6, 5.8
2024-12-27-19:32:58.743, 11650, 11650, 20, 20, 19996.6, 5.825
2024-12-27-19:32:58.748, 11700, 11700, 20, 20, 19996.6, 5.85
2024-12-27-19:32:58.753, 11750, 11750, 20, 20, 19996.5, 5.875
2024-12-27-19:32:58.758, 11800, 11800, 20, 20, 19996.5, 5.9
2024-12-27-19:32:58.763, 11850, 11850, 20, 20, 19996.5, 5.925
2024-12-27-19:32:58.768, 11900, 11900, 20, 20, 19996.4, 5.95
2024-12-27-19:32:58.773, 11950, 11950, 20, 20, 19996.4, 5.975
2024-12-27-19:32:58.778, 12000, 12000, 20, 20, 19996.4, 6
2024-12-27-19:32:58.783, 12050, 12050, 20, 20, 19996.4, 6.025
2024-12-27-19:32:58.788, 12100, 12100, 20, 20, 19996.3, 6.05
2024-12-27-19:32:58.793, 12150, 12150, 20, 20, 19996.3, 6.075
2024-12-27-19:32:58.798, 12200, 12200, 20, 20, 19996.3, 6.1
2024-12-27-19:32:58.803, 12250, 12250, 20, 20, 19996.2, 6.125
2024-12-27-19:32:58.808, 12300, 12300, 20, 20, 19996.2, 6.15
2024-12-27-19:32:58.813, 12350, 12350, 20, 20, 19996.2, 6.175
2024-12-27-19:32:58.818, 12400, 12400, 20, 20, 19996.1, 6.2
2024-12-27-19:32:58.823, 12450, 12450, 20, 20, 19996.1, 6.225
2024-12-27-19:32:58.828, 12500, 12500, 20, 20, 19996.1, 6.25
2024-12-27-19:32:58.833, 12550, 12550, 20, 20, 19996, 6.275
2024-12-27-19:32:58.838, 12600, 12600, 20, 20, 19996, 6.3
2024-12-27-19:32:58.843, 12650, 12650, 20, 20, 19996, 6.325
2024-12-27-19:32:58.848, 12700, 12700, 20, 20, 19996, 6.35
2024-12-27-19:32:58.853, 12750, 12750, 20, 20, 19995.9, 6.375
2024-12-27-19:32:58.858, 12800, 12800, 20, 20, 19995.9, 6.4
2024-12-27-19:32:58.863, 12850, 12850, 20, 20, 19995.9, 6.425
2024-12-27-19:32:58.868, 12900, 12900, 20, 20, 19995.8, 6.45
2024-12-27-19:32:58.873, 12950, 12950, 20, 20, 19995.8, 6.475
2024-12-27-19:32:58.878, 13000, 13000, 20, 20, 19995.8, 6.5
2024-12-27-19:32:58.883, 13050, 13050, 20, 20, 19995.7, 6.525
2024-12-27-19:32:58.888, 13100, 13100, 20, 20, 19995.7, 6.55
2024-12-27-19:32:58.893, 13150, 13150, 20, 20, 19995.7, 6.575
2024-12-27-19:32:58.898, 13200, 13200, 20, 20, 19995.6, 6.6
2024-12-27-19:32:58.903, 13250, 13250, 20, 20, 19995.6, 6.625
2024-12-27-19:32:58.908, 13300, 13300, 20, 20, 19995.6, 6.65
2024-12-27-19:32:58.913, 13350, 13350, 20, 20, 19995.5, 6.675
2024-12-27-19:32:58.918, 13400, 13400, 20, 20, 19995.5, 6.7
2024-12-27-19:32:58.923, 13450, 13450, 20, 20, 19995.5, 6.725
2024-12-27-19:32:58.928, 13500, 13500, 20, 20, 19995.4, 6.75
2024-12-27-19:32:58.933, 13550, 13550, nan, 20, 19995.4, 6.775
2024-12-27-19:32:58.938, 13600, 13600, nan, 20, 19995.4, 6.8
2024-12-27-19:32:58.944, 13650, 13650, nan, 20, 19995.3, 6.825
2024-12-27-19:32:58.949, 13700, 13700, nan, 20, 19995.3, 6.85
2024-12-27-19:32:58.954, 13750, 13750, nan, 20, 19995.3, 6.875
2024-12-27-19:32:58.959, 13800, 13800, nan, 20, 19995.2, 6.9
2024-12-27-19:32:58.964, 13850, 13850, nan, 20, 19995.2, 6.925
2024-12-27-19:32:58.969, 13900, 13900, nan, 20, 19995.2, 6.95
2024-12-27-19:32:58.974, 13950, 13950, nan, 20, 19995.1, 6.975
2024-12-27-19:32:58.979, 14000, 14000, nan, 20, 19995.1, 7
2024-12-27-19:32:58.984, 14050, 14050, nan, 20, 19995, 7.025
2024-12-27-19:32:58.989, 14100, 14100, nan, 20, 19995, 7.05
2024-12-27-19:32:58.994, 14150, 14150, nan, 20, 19995, 7.075
2024-12-27-19:32:58.999, 14200, 14200, nan, 20, 19994.9, 7.1
2024-12-27-19:32:59.004, 14250, 14250, nan, 20, 19994.9, 7.125
2024-12-27-19:32:59.009, 14300, 14300, nan, 20, 19994.9, 7.15
2024-12-27-19:32:59.014, 14350, 14350, nan, 20, 19994.8, 7.175
2024-12-27-19:32:59.019, 14400, 14400, nan, 20, 19994.8, 7.2
2024-12-27-19:32:59.024, 14450, 14450, nan, 20, 19994.8, 7.225
2024-12-27-19:32:59.029, 14500, 14500, nan, 20, 19994.7, 7.25
2024-12-27-19:32:59.034, 14550, 14550, nan, 20, 19994.7, 7.275
2024-12-27-19:32:59.039, 14600, 14600, nan, 20, 19994.7, 7.3
2024-12-27-19:32:59.044, 14650, 14650, nan, 20, 19994.6, 7.325
2024-12-27-19:32:59.049, 14700, 14700, nan, 20, 19994.6, 7.35
2024-12-27-19:32:59.054, 14750, 14750, nan, 20, 19994.5, 7.375
2024-12-27-19:32:59.059, 14800, 14800, nan, 20, 19994.5, 7.4
2024-12-27-19:32:59.064, 14850, 14850, nan, 20, 19994.5, 7.425
2024-12-27-19:32:59.069, 14900, 14900, nan, 20, 19994.4, 7.45
2024-12-27-19:32:59.074, 14950, 14950, nan, 20, 19994.4, 7.475
2024-12-27-19:32:59.079, 15000, 15000, nan, 20, 19994.4, 7.5
2024-12-27-19:32:59.084, 15050, 15050, nan, 20, 19994.3, 7.525
2024-12-27-19:32:59.089, 15100, 15100, nan, 20, 19994.3, 7.55
2024-12-27-19:32:59.094, 15150, 15150, nan, 20, 19994.2, 7.575
2024-12-27-19:32:59.099, 15200, 15200, nan, 20, 19994.2, 7.6
2024-12-27-19:32:59.104, 15250, 15250, nan, 20, 19994.2, 7.625
2024-12-27-19:32:59.109, 15300, 15300, nan, 20, 19994.1, 7.65
2024-12-27-19:32:59.114, 15350, 15350, nan, 20, 19994.1, 7.675
2024-12-27-19:32:59.119, 15400, 15400, nan, 20, 19994.1, 7.7
2024-12-27-19:32:59.124, 15450, 15450, nan, 20, 19994, 7.725
2024-12-27-19:32:59.129, 15500, 15500, nan, 20, 19994, 7.75
